Target: ,12cx7,,,,,,
Patient,minute,calories,distance,floors,heart,steps,sleep_level
12cx7,0:00:00,,0,0,63,0,1
12cx7,0:01:00,0.968900025,,0,67,0,1
12cx7,0:02:00,0.968900025,0,,69,0,1
12cx7,0:03:00,0.968900025,0,0,,0,1
12cx7,0:04:00,0.968900025,0,0,70,,1
12cx7,0:05:00,0.968900025,0,0,71,0,
12cx7,0:06:00,0.968900025,0,0,69,0,1
12cx7,0:07:00,0.968900025,0,0,71,0,1
12cx7,0:08:00,0.968900025,0,0,68,0,1
12cx7,0:09:00,0.968900025,0,0,67,0,1
12cx7,0:10:00,0.968900025,0,0,66,0,1
12cx7,0:11:00,0.968900025,0,0,65,0,1
12cx7,0:12:00,0.968900025,0,0,65,0,1
12cx7,0:13:00,0.968900025,0,0,67,0,1
12cx7,0:14:00,0.968900025,0,0,65,0,1
12cx7,0:15:00,0.968900025,0,0,63,0,1
12cx7,0:16:00,0.968900025,0,0,64,0,1
12cx7,0:17:00,0.968900025,0,0,63,0,1
12cx7,0:18:00,0.968900025,0,0,63,0,1
12cx7,0:19:00,0.968900025,0,0,65,0,1
12cx7,0:20:00,0.968900025,0,0,64,0,1
12cx7,0:21:00,0.968900025,0,0,63,0,1
12cx7,0:22:00,0.968900025,0,0,63,0,1
12cx7,0:23:00,0.968900025,0,0,62,0,1
12cx7,0:24:00,0.968900025,0,0,63,0,1
13ac4,0:24:00,0.968900025,0,0,68,0,2
12cx7,0:25:00,0.968900025,0,0,64,0,1
12cx7,0:26:00,0.968900025,0,0,62,0,1
12cx7,0:27:00,0.968900025,0,0,61,0,1
12cx7,0:28:00,0.968900025,0,0,62,0,1
12cx7,0:29:00,0.968900025,0,0,62,0,1
12cx7,0:30:00,0.968900025,0,0,62,0,1
12cx7,0:31:00,0.968900025,0,0,62,0,1
12cx7,0:32:00,0.968900025,0,0,62,0,1
12cx7,0:33:00,0.968900025,0,0,61,0,1
12cx7,0:34:00,0.968900025,0,0,61,0,1
12cx7,0:35:00,0.968900025,0,0,62,0,1
12cx7,0:36:00,0.968900025,0,0,62,0,1
12cx7,0:37:00,0.968900025,0,0,61,0,1
12cx7,0:38:00,0.968900025,0,0,61,0,1
12cx7,0:39:00,0.968900025,0,0,62,0,1
12cx7,0:40:00,0.968900025,0,0,62,0,1
12cx7,0:41:00,0.968900025,0,0,62,0,1
12cx7,0:42:00,0.968900025,0,0,63,0,1
12cx7,0:43:00,0.968900025,0,0,62,0,1
12cx7,0:44:00,0.968900025,0,0,62,0,1
12cx7,0:45:00,0.968900025,0,0,62,0,1
12cx7,0:46:00,0.968900025,0,0,62,0,1
12cx7,0:47:00,0.968900025,0,0,63,0,1
12cx7,0:48:00,0.968900025,0,0,61,0,1
12cx7,0:49:00,0.968900025,0,0,61,0,1
12cx7,0:50:00,0.968900025,0,0,62,0,1
12cx7,0:50:00,0.968900025,0,0,62,0,1
12cx7,0:51:00,0.968900025,0,0,61,0,1
12cx7,0:52:00,0.968900025,0,0,61,0,1
12cx7,0:53:00,0.968900025,0,0,60,0,1
12cx7,0:54:00,0.968900025,0,0,61,0,1
12cx7,0:55:00,0.968900025,0,0,61,0,1
12cx7,0:56:00,0.968900025,0,0,61,0,1
12cx7,0:57:00,0.968900025,0,0,61,0,1
12cx7,0:58:00,0.968900025,0,0,60,0,1
12cx7,0:59:00,0.968900025,0,0,61,0,1
12cx7,1:00:00,0.968900025,0,0,61,0,1
12cx7,1:01:00,0.968900025,0,0,60,0,1
12cx7,1:02:00,0.968900025,0,0,60,0,1
12cx7,1:03:00,0.968900025,0,0,60,0,1
12cx7,1:04:00,0.968900025,0,0,60,0,1
12cx7,1:05:00,0.968900025,0,0,60,0,1
12cx7,1:06:00,0.968900025,0,0,60,0,1
12cx7,1:07:00,0.968900025,0,0,61,0,1
12cx7,1:08:00,0.968900025,0,0,61,0,1
12cx7,1:09:00,1.065790057,0,0,61,0,1
12cx7,1:10:00,0.968900025,0,0,58,0,1
12cx7,1:11:00,0.968900025,0,0,58,0,1
12cx7,1:12:00,0.968900025,0,0,61,0,1
12cx7,1:13:00,0.968900025,0,0,61,0,1
12cx7,1:14:00,0.968900025,0,0,65,0,1
12cx7,1:15:00,0.968900025,0,0,65,0,1
12cx7,1:16:00,0.968900025,0,0,65,0,1
12cx7,1:17:00,0.968900025,0,0,69,0,1
12cx7,1:18:00,0.968900025,0,0,65,0,1
12cx7,1:19:00,0.968900025,0,0,66,0,1
12cx7,1:20:00,0.968900025,0,0,65,0,1
12cx7,1:21:00,0.968900025,0,0,64,0,1
12cx7,1:22:00,0.968900025,0,0,65,0,1
12cx7,1:23:00,0.968900025,0,0,65,0,1
12cx7,1:24:00,0.968900025,0,0,64,0,1
12cx7,1:25:00,0.968900025,0,0,63,0,1
12cx7,1:26:00,0.968900025,0,0,64,0,1
12cx7,1:27:00,0.968900025,0,0,63,0,1
12cx7,1:28:00,1.065790057,0,0,65,0,1
12cx7,1:29:00,0.968900025,0,0,60,0,1
12cx7,1:30:00,0.968900025,0,0,62,0,1
12cx7,1:31:00,0.968900025,0,0,64,0,1
12cx7,1:32:00,0.968900025,0,0,64,0,1
12cx7,1:33:00,0.968900025,0,0,63,0,1
12cx7,1:34:00,0.968900025,0,0,62,0,1
12cx7,1:35:00,0.968900025,0,0,63,0,1
12cx7,1:36:00,0.968900025,0,0,63,0,1
12cx7,1:37:00,0.968900025,0,0,62,0,1
12cx7,1:38:00,0.968900025,0,0,64,0,1
12cx7,1:39:00,0.968900025,0,0,62,0,1
12cx7,1:40:00,0.968900025,0,0,62,0,1
12cx7,1:41:00,0.968900025,0,0,62,0,1
12cx7,1:42:00,0.968900025,0,0,62,0,1
12cx7,1:43:00,0.968900025,0,0,61,0,1
12cx7,1:44:00,0.968900025,0,0,62,0,1
12cx7,1:45:00,0.968900025,0,0,62,0,1
12cx7,1:46:00,0.968900025,0,0,63,0,1
12cx7,1:47:00,0.968900025,0,0,63,0,1
12cx7,1:48:00,0.968900025,0,0,62,0,1
12cx7,1:49:00,0.968900025,0,0,61,0,1
12cx7,1:50:00,0.968900025,0,0,62,0,1
12cx7,1:51:00,0.968900025,0,0,62,0,1
12cx7,1:52:00,0.968900025,0,0,63,0,1
12cx7,1:53:00,0.968900025,0,0,62,0,1
12cx7,1:54:00,0.968900025,0,0,62,0,1
12cx7,1:55:00,0.968900025,0,0,63,0,1
12cx7,1:56:00,0.968900025,0,0,62,0,1
12cx7,1:57:00,0.968900025,0,0,61,0,1
12cx7,1:58:00,0.968900025,0,0,62,0,1
12cx7,1:59:00,0.968900025,0,0,61,0,1
